Nilai,Kurs Jual,Kurs Beli,Tanggal 
1,14266,14124,05-Jan-09
1,14302,14160,06-Jan-09
1,14346,14204,07-Jan-09
1,14416,14272,08-Jan-09
1,14302,14160,09-Jan-09
1,14274,14132,12-Jan-09
1,14168,14028,13-Jan-09
1,14096,13956,14-Jan-09
1,14104,13964,15-Jan-09
1,14080,13940,16-Jan-09
1,14071,13931,19-Jan-09
1,14056,13916,20-Jan-09
1,14081,13941,21-Jan-09
1,14043,13903,22-Jan-09
1,14033,13893,23-Jan-09
1,13983,13843,27-Jan-09
1,14046,13906,28-Jan-09
1,14019,13879,29-Jan-09
1,13995,13855,30-Jan-09
1,14040,13900,02-Feb-09
1,14155,14015,03-Feb-09
1,14159,14019,04-Feb-09
1,14223,14081,05-Feb-09
1,14200,14058,06-Feb-09
1,14218,14076,09-Feb-09
1,14219,14077,10-Feb-09
1,14177,14035,11-Feb-09
1,14231,14089,12-Feb-09
1,14211,14069,13-Feb-09
1,14188,14046,16-Feb-09
1,14212,14070,17-Feb-09
1,14251,14109,18-Feb-09
1,14245,14103,19-Feb-09
1,14209,14067,20-Feb-09
1,14236,14094,23-Feb-09
1,14187,14045,24-Feb-09
1,14307,14165,25-Feb-09
1,14342,14200,26-Feb-09
1,14406,14262,27-Feb-09
1,14418,14274,02-Mar-09
1,14376,14232,03-Mar-09
1,14341,14199,04-Mar-09
1,14305,14163,05-Mar-09
1,14329,14187,06-Mar-09
1,14302,14160,10-Mar-09
1,14457,14313,11-Mar-09
1,14489,14345,12-Mar-09
1,14452,14308,13-Mar-09
1,14432,14288,16-Mar-09
1,14523,14379,17-Mar-09
1,14586,14440,18-Mar-09
1,14560,14416,19-Mar-09
1,14534,14390,20-Mar-09
1,14550,14406,23-Mar-09
1,14541,14397,24-Mar-09
1,14530,14386,25-Mar-09
1,14520,14376,27-Mar-09
1,14516,14372,30-Mar-09
1,14434,14290,31-Mar-09
1,14419,14275,01-Apr-09
1,14410,14266,02-Apr-09
1,14377,14233,03-Apr-09
1,14381,14237,06-Apr-09
1,14380,14236,07-Apr-09
1,14353,14211,08-Apr-09
1,14316,14174,13-Apr-09
1,14286,14144,14-Apr-09
1,14259,14117,15-Apr-09
1,14259,14117,16-Apr-09
1,14225,14083,17-Apr-09
1,14183,14041,20-Apr-09
1,14150,14010,21-Apr-09
1,14126,13986,22-Apr-09
1,14086,13946,23-Apr-09
1,14136,13996,24-Apr-09
1,14137,13997,27-Apr-09
1,14224,14082,28-Apr-09
1,14227,14085,29-Apr-09
1,14226,14084,30-Apr-09
1,9768,9670,01-May-09
1,9613,9517,04-May-09
1,10171,10069,05-May-09
1,10198,10096,06-May-09
1,10427,10323,07-May-09
1,11552,11438,08-May-09
1,9693,9597,11-May-09
1,9662,9566,12-May-09
1,9636,9540,13-May-09
1,9507,9413,14-May-09
1,9357,9263,15-May-09
1,9236,9144,18-May-09
1,9115,9025,19-May-09
1,8502,8418,20-May-09
1,8672,8586,22-May-09
1,9058,8968,25-May-09
1,8974,8884,26-May-09
1,9021,8931,27-May-09
1,9133,9043,28-May-09
1,9179,9087,29-May-09
1,14221,14079,01-Jun-09
1,14216,14074,02-Jun-09
1,14229,14087,03-Jun-09
1,14253,14111,04-Jun-09
1,14308,14166,05-Jun-09
1,14302,14160,08-Jun-09
1,14315,14173,09-Jun-09
1,14326,14184,10-Jun-09
1,14273,14131,11-Jun-09
1,14242,14100,12-Jun-09
1,14294,14152,15-Jun-09
1,14228,14086,16-Jun-09
1,14173,14031,17-Jun-09
1,14302,14160,18-Jun-09
1,14299,14157,19-Jun-09
1,14313,14171,22-Jun-09
1,14382,14238,23-Jun-09
1,14324,14182,24-Jun-09
1,14340,14198,25-Jun-09
1,14322,14180,26-Jun-09
1,14396,14252,29-Jun-09
1,14294,14152,30-Jun-09
1,14200,14058,01-Jul-09
1,14217,14075,02-Jul-09
1,14220,14078,03-Jul-09
1,14182,14040,06-Jul-09
1,14132,13992,07-Jul-09
1,14074,13934,09-Jul-09
1,14060,13920,10-Jul-09
1,14077,13937,13-Jul-09
1,14149,14009,14-Jul-09
1,14127,13987,15-Jul-09
1,14125,13985,16-Jul-09
1,14190,14048,17-Jul-09
1,14177,14035,21-Jul-09
1,14187,14045,22-Jul-09
1,14163,14023,23-Jul-09
1,14097,13957,24-Jul-09
1,14158,14018,27-Jul-09
1,14065,13925,28-Jul-09
1,14062,13922,29-Jul-09
1,14048,13908,30-Jul-09
1,14017,13877,31-Jul-09
1,9091,9001,03-Aug-09
1,9395,9301,04-Aug-09
1,9758,9660,05-Aug-09
1,9939,9841,06-Aug-09
1,10084,9984,07-Aug-09
1,9753,9655,10-Aug-09
1,9764,9666,11-Aug-09
1,9686,9590,12-Aug-09
1,9628,9532,13-Aug-09
1,9515,9421,14-Aug-09
1,9030,8940,18-Aug-09
1,9085,8995,19-Aug-09
1,8595,8509,20-Aug-09
1,8565,8479,21-Aug-09
1,9083,8993,24-Aug-09
1,9060,8970,25-Aug-09
1,8973,8883,26-Aug-09
1,9030,8940,27-Aug-09
1,9059,8969,28-Aug-09
1,9447,9353,31-Aug-09
1,14046,13906,01-Sep-09
1,14048,13908,02-Sep-09
1,14142,14002,03-Sep-09
